epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,249.467,1.28862,0.4911,0.80578,0.97586,1,0.97932,0.61402,1.37063,0.48078,0.7673,0.00123968,0.00123968,0.00123968
98,252.042,1.12102,0.46629,0.7918,0.97586,1,0.97773,0.60887,1.34231,0.47653,0.76735,0.00123176,0.00123176,0.00123176
99,254.561,1.09088,0.44558,0.79833,0.97586,1,0.97773,0.60887,1.34231,0.47653,0.76735,0.00122384,0.00122384,0.00122384
100,257.092,1.1493,0.46824,0.81828,0.97604,1,0.97977,0.64616,1.31577,0.48369,0.76543,0.00121592,0.00121592,0.00121592
101,259.624,1.23534,0.51892,0.80973,0.97604,1,0.97977,0.64616,1.31577,0.48369,0.76543,0.001208,0.001208,0.001208
102,262.164,1.12976,0.44638,0.81673,0.97586,1,0.97614,0.63522,1.30088,0.47309,0.76712,0.00120008,0.00120008,0.00120008
103,264.684,1.0832,0.46456,0.80325,0.97586,1,0.97614,0.63522,1.30088,0.47309,0.76712,0.00119216,0.00119216,0.00119216
104,267.217,1.14242,0.47852,0.80633,0.97543,1,0.97614,0.62003,1.34915,0.51559,0.77827,0.00118424,0.00118424,0.00118424
105,269.728,1.14995,0.45594,0.7717,0.97543,1,0.97614,0.62003,1.34915,0.51559,0.77827,0.00117632,0.00117632,0.00117632
106,272.263,1.13135,0.47072,0.81498,0.97719,0.99657,0.97545,0.60937,1.43894,0.59198,0.78794,0.0011684,0.0011684,0.0011684
107,274.777,1.224,0.47471,0.78537,0.97719,0.99657,0.97545,0.60937,1.43894,0.59198,0.78794,0.00116048,0.00116048,0.00116048
108,277.312,1.21173,0.48701,0.80341,0.97392,0.8685,0.97455,0.55646,1.68148,1.02143,0.81075,0.00115256,0.00115256,0.00115256
109,279.827,1.14868,0.48865,0.82652,0.97392,0.8685,0.97455,0.55646,1.68148,1.02143,0.81075,0.00114464,0.00114464,0.00114464
110,282.359,1.24575,0.49543,0.82834,0.97416,1,0.97614,0.62797,1.38934,0.51975,0.7848,0.00113672,0.00113672,0.00113672
111,284.973,1.14783,0.4301,0.79893,0.97416,1,0.97614,0.62797,1.38934,0.51975,0.7848,0.0011288,0.0011288,0.0011288
112,287.51,1.18679,0.46296,0.80763,0.97544,1,0.97386,0.64932,1.21601,0.50942,0.76386,0.00112088,0.00112088,0.00112088
113,290.063,1.15826,0.46262,0.80886,0.97544,1,0.97386,0.64932,1.21601,0.50942,0.76386,0.00111296,0.00111296,0.00111296
114,292.603,1.1657,0.44626,0.80458,0.97545,1,0.97455,0.64691,1.25827,0.54011,0.76388,0.00110504,0.00110504,0.00110504
115,295.114,1.13775,0.45947,0.8089,0.97545,1,0.97455,0.64691,1.25827,0.54011,0.76388,0.00109712,0.00109712,0.00109712
116,297.635,1.2373,0.46438,0.77828,0.97461,1,0.97386,0.65673,1.24052,0.50135,0.76405,0.0010892,0.0010892,0.0010892
117,300.141,1.14427,0.445,0.7983,0.97461,1,0.97386,0.65673,1.24052,0.50135,0.76405,0.00108128,0.00108128,0.00108128
118,302.679,1.18824,0.46876,0.79543,0.97447,1,0.97295,0.63901,1.28838,0.49089,0.76284,0.00107336,0.00107336,0.00107336
119,305.201,1.13928,0.44473,0.78116,0.97447,1,0.97295,0.63901,1.28838,0.49089,0.76284,0.00106544,0.00106544,0.00106544
120,307.727,1.04377,0.45781,0.78662,0.97526,1,0.97239,0.59108,1.40793,0.50742,0.76961,0.00105752,0.00105752,0.00105752
121,310.245,1.17372,0.46836,0.80996,0.97526,1,0.97239,0.59108,1.40793,0.50742,0.76961,0.0010496,0.0010496,0.0010496
122,312.787,1.31049,0.50098,0.84102,0.97557,1,0.97239,0.61216,1.34471,0.47285,0.76682,0.00104168,0.00104168,0.00104168
123,315.333,1.10484,0.45851,0.81459,0.97557,1,0.97239,0.61216,1.34471,0.47285,0.76682,0.00103376,0.00103376,0.00103376
124,317.881,1.18931,0.48976,0.80487,0.97566,1,0.97341,0.63864,1.27537,0.46213,0.76255,0.00102584,0.00102584,0.00102584
125,320.407,1.16621,0.45887,0.7764,0.97566,1,0.97341,0.63864,1.27537,0.46213,0.76255,0.00101792,0.00101792,0.00101792
126,322.945,1.19007,0.50488,0.78555,0.97574,1,0.97545,0.59952,1.34373,0.50833,0.76355,0.00101,0.00101,0.00101
127,325.453,1.18476,0.49374,0.79877,0.97574,1,0.97545,0.59952,1.34373,0.50833,0.76355,0.00100208,0.00100208,0.00100208
128,327.987,1.19009,0.48937,0.77019,0.97572,1,0.97659,0.59638,1.33014,0.51248,0.76121,0.00099416,0.00099416,0.00099416
129,330.493,1.25618,0.48357,0.79101,0.97572,1,0.97659,0.59638,1.33014,0.51248,0.76121,0.00098624,0.00098624,0.00098624
130,333.027,1.21767,0.47439,0.80791,0.97578,1,0.97773,0.63181,1.28946,0.5067,0.76148,0.00097832,0.00097832,0.00097832
131,335.545,1.27463,0.51838,0.79672,0.97578,1,0.97773,0.63181,1.28946,0.5067,0.76148,0.0009704,0.0009704,0.0009704
132,338.107,1.29339,0.49211,0.79868,0.97575,1,0.97659,0.63886,1.30269,0.51803,0.76529,0.00096248,0.00096248,0.00096248
133,340.625,1.19608,0.49366,0.80914,0.97575,1,0.97659,0.63886,1.30269,0.51803,0.76529,0.00095456,0.00095456,0.00095456
134,343.155,1.09714,0.44582,0.78627,0.97564,1,0.97545,0.62039,1.30524,0.52389,0.76694,0.00094664,0.00094664,0.00094664
135,345.672,1.02853,0.44901,0.80874,0.97564,1,0.97545,0.62039,1.30524,0.52389,0.76694,0.00093872,0.00093872,0.00093872
136,348.205,1.09281,0.47848,0.78988,0.97557,1,0.97341,0.62827,1.30546,0.52267,0.76424,0.0009308,0.0009308,0.0009308
137,350.75,1.13119,0.46688,0.77724,0.97557,1,0.97341,0.62827,1.30546,0.52267,0.76424,0.00092288,0.00092288,0.00092288
138,353.29,1.07626,0.44119,0.78616,0.9757,1,0.97239,0.64462,1.27037,0.46664,0.75906,0.00091496,0.00091496,0.00091496
139,355.814,1.21902,0.49948,0.80655,0.9757,1,0.97239,0.64462,1.27037,0.46664,0.75906,0.00090704,0.00090704,0.00090704
